('413', 'INT', 'Crime Classication Code', 'VALID', 3363)
('416', 'INT', 'Crime Classication Code', 'VALID', 3373)
('418', 'INT', 'Crime Classication Code', 'VALID', 3427)
('809', 'INT', 'Crime Classication Code', 'VALID', 3626)
('779', 'INT', 'Crime Classication Code', 'VALID', 3656)
('501', 'INT', 'Crime Classication Code', 'VALID', 3703)
('402', 'INT', 'Crime Classication Code', 'VALID', 3741)
('168', 'INT', 'Crime Classication Code', 'VALID', 3852)
('723', 'INT', 'Crime Classication Code', 'VALID', 3894)
('510', 'INT', 'Crime Classication Code', 'VALID', 3899)
('273', 'INT', 'Crime Classication Code', 'VALID', 3955)
('443', 'INT', 'Crime Classication Code', 'VALID', 4023)
('420', 'INT', 'Crime Classication Code', 'VALID', 4070)
('640', 'INT', 'Crime Classication Code', 'VALID', 4103)
('410', 'INT', 'Crime Classication Code', 'VALID', 4189)
('411', 'INT', 'Crime Classication Code', 'VALID', 4240)
('268', 'INT', 'Crime Classication Code', 'VALID', 4250)
('179', 'INT', 'Crime Classication Code', 'VALID', 4283)
('725', 'INT', 'Crime Classication Code', 'VALID', 4292)
('847', 'INT', 'Crime Classication Code', 'VALID', 4372)
('214', 'INT', 'Crime Classication Code', 'VALID', 4721)
('425', 'INT', 'Crime Classication Code', 'VALID', 4812)
('264', 'INT', 'Crime Classication Code', 'VALID', 4851)
('', <type 'str'>, 'Other', 'NULL', 4909)
('515', 'INT', 'Crime Classication Code', 'VALID', 5009)
('406', 'INT', 'Crime Classication Code', 'VALID', 5212)
('231', 'INT', 'Crime Classication Code', 'VALID', 5453)
('382', 'INT', 'Crime Classication Code', 'VALID', 5569)
('307', 'INT', 'Crime Classication Code', 'VALID', 5572)
('422', 'INT', 'Crime Classication Code', 'VALID', 5683)
('303', 'INT', 'Crime Classication Code', 'VALID', 5690)
('521', 'INT', 'Crime Classication Code', 'VALID', 5945)
('461', 'INT', 'Crime Classication Code', 'VALID', 6011)
('424', 'INT', 'Crime Classication Code', 'VALID', 6117)
('566', 'INT', 'Crime Classication Code', 'VALID', 6225)
('649', 'INT', 'Crime Classication Code', 'VALID', 6442)
('256', 'INT', 'Crime Classication Code', 'VALID', 6906)
('305', 'INT', 'Crime Classication Code', 'VALID', 7065)
('398', 'INT', 'Crime Classication Code', 'VALID', 7127)
('404', 'INT', 'Crime Classication Code', 'VALID', 7132)
('203', 'INT', 'Crime Classication Code', 'VALID', 7231)
('389', 'INT', 'Crime Classication Code', 'VALID', 7306)
('407', 'INT', 'Crime Classication Code', 'VALID', 7542)
('494', 'INT', 'Crime Classication Code', 'VALID', 7668)
('313', 'INT', 'Crime Classication Code', 'VALID', 7974)
('401', 'INT', 'Crime Classication Code', 'VALID', 8242)
('451', 'INT', 'Crime Classication Code', 'VALID', 8547)
('661', 'INT', 'Crime Classication Code', 'VALID', 8886)
('301', 'INT', 'Crime Classication Code', 'VALID', 8905)
('417', 'INT', 'Crime Classication Code', 'VALID', 9181)
('412', 'INT', 'Crime Classication Code', 'VALID', 9219)
('384', 'INT', 'Crime Classication Code', 'VALID', 9267)
('263', 'INT', 'Crime Classication Code', 'VALID', 9734)
('157', 'INT', 'Crime Classication Code', 'VALID', 9850)
('792', 'INT', 'Crime Classication Code', 'VALID', 10291)
('878', 'INT', 'Crime Classication Code', 'VALID', 10622)
('115', 'INT', 'Crime Classication Code', 'VALID', 10647)
('569', 'INT', 'Crime Classication Code', 'VALID', 10861)
('478', 'INT', 'Crime Classication Code', 'VALID', 11278)
('399', 'INT', 'Crime Classication Code', 'VALID', 12178)
('500', 'INT', 'Crime Classication Code', 'VALID', 12254)
('760', 'INT', 'Crime Classication Code', 'VALID', 12359)
('211', 'INT', 'Crime Classication Code', 'VALID', 13268)
('433', 'INT', 'Crime Classication Code', 'VALID', 14425)
('105', 'INT', 'Crime Classication Code', 'VALID', 14480)
('457', 'INT', 'Crime Classication Code', 'VALID', 14534)
('707', 'INT', 'Crime Classication Code', 'VALID', 14717)
('415', 'INT', 'Crime Classication Code', 'VALID', 14949)
('114', 'INT', 'Crime Classication Code', 'VALID', 15125)
('224', 'INT', 'Crime Classication Code', 'VALID', 15307)
('462', 'INT', 'Crime Classication Code', 'VALID', 15636)
('681', 'INT', 'Crime Classication Code', 'VALID', 15685)
('403', 'INT', 'Crime Classication Code', 'VALID', 16563)
('748', 'INT', 'Crime Classication Code', 'VALID', 17504)
('388', 'INT', 'Crime Classication Code', 'VALID', 18430)
('922', 'INT', 'Crime Classication Code', 'VALID', 18432)
('705', 'INT', 'Crime Classication Code', 'VALID', 18762)
('117', 'INT', 'Crime Classication Code', 'VALID', 19619)
('718', 'INT', 'Crime Classication Code', 'VALID', 19880)
('106', 'INT', 'Crime Classication Code', 'VALID', 20121)
('490', 'INT', 'Crime Classication Code', 'VALID', 21166)
('503', 'INT', 'Crime Classication Code', 'VALID', 22432)
('213', 'INT', 'Crime Classication Code', 'VALID', 25688)
('386', 'INT', 'Crime Classication Code', 'VALID', 26162)
('759', 'INT', 'Crime Classication Code', 'VALID', 27174)
('439', 'INT', 'Crime Classication Code', 'VALID', 29000)
('175', 'INT', 'Crime Classication Code', 'VALID', 29753)
('750', 'INT', 'Crime Classication Code', 'VALID', 30221)
('343', 'INT', 'Crime Classication Code', 'VALID', 30579)
('749', 'INT', 'Crime Classication Code', 'VALID', 34255)
('269', 'INT', 'Crime Classication Code', 'VALID', 35036)
('357', 'INT', 'Crime Classication Code', 'VALID', 35511)
('267', 'INT', 'Crime Classication Code', 'VALID', 38631)
('349', 'INT', 'Crime Classication Code', 'VALID', 40079)
('223', 'INT', 'Crime Classication Code', 'VALID', 43948)
('405', 'INT', 'Crime Classication Code', 'VALID', 44877)
('793', 'INT', 'Crime Classication Code', 'VALID', 45194)
('916', 'INT', 'Crime Classication Code', 'VALID', 46477)
('729', 'INT', 'Crime Classication Code', 'VALID', 46804)
('419', 'INT', 'Crime Classication Code', 'VALID', 50410)
('421', 'INT', 'Crime Classication Code', 'VALID', 53417)
('739', 'INT', 'Crime Classication Code', 'VALID', 59186)
('198', 'INT', 'Crime Classication Code', 'VALID', 61957)
('205', 'INT', 'Crime Classication Code', 'VALID', 63241)
('113', 'INT', 'Crime Classication Code', 'VALID', 77478)
('782', 'INT', 'Crime Classication Code', 'VALID', 78658)
('905', 'INT', 'Crime Classication Code', 'VALID', 78913)
('339', 'INT', 'Crime Classication Code', 'VALID', 84305)
('221', 'INT', 'Crime Classication Code', 'VALID', 86646)
('441', 'INT', 'Crime Classication Code', 'VALID', 97033)
('258', 'INT', 'Crime Classication Code', 'VALID', 99999)
('397', 'INT', 'Crime Classication Code', 'VALID', 103430)
('511', 'INT', 'Crime Classication Code', 'VALID', 106585)
('438', 'INT', 'Crime Classication Code', 'VALID', 125215)
('259', 'INT', 'Crime Classication Code', 'VALID', 159419)
('109', 'INT', 'Crime Classication Code', 'VALID', 170304)
('567', 'INT', 'Crime Classication Code', 'VALID', 183617)
('321', 'INT', 'Crime Classication Code', 'VALID', 190208)
('254', 'INT', 'Crime Classication Code', 'VALID', 203343)
('338', 'INT', 'Crime Classication Code', 'VALID', 241404)
('333', 'INT', 'Crime Classication Code', 'VALID', 241884)
('637', 'INT', 'Crime Classication Code', 'VALID', 255838)
('639', 'INT', 'Crime Classication Code', 'VALID', 302602)
('638', 'INT', 'Crime Classication Code', 'VALID', 414170)
('101', 'INT', 'Crime Classication Code', 'VALID', 480547)
