('02/19/2012', 'DATETIME', 'Report Date', 'VALID', 1113)
('01/10/2016', 'DATETIME', 'Report Date', 'VALID', 1113)
('02/17/2008', 'DATETIME', 'Report Date', 'VALID', 1114)
('01/20/2013', 'DATETIME', 'Report Date', 'VALID', 1115)
('01/16/2011', 'DATETIME', 'Report Date', 'VALID', 1115)
('01/21/2013', 'DATETIME', 'Report Date', 'VALID', 1115)
('10/09/2016', 'DATETIME', 'Report Date', 'VALID', 1116)
('07/04/2016', 'DATETIME', 'Report Date', 'VALID', 1116)
('04/16/2006', 'DATETIME', 'Report Date', 'VALID', 1116)
('12/16/2012', 'DATETIME', 'Report Date', 'VALID', 1117)
('02/17/2015', 'DATETIME', 'Report Date', 'VALID', 1117)
('12/19/2008', 'DATETIME', 'Report Date', 'VALID', 1118)
('01/19/2015', 'DATETIME', 'Report Date', 'VALID', 1118)
('12/31/2011', 'DATETIME', 'Report Date', 'VALID', 1118)
('04/17/2011', 'DATETIME', 'Report Date', 'VALID', 1119)
('11/06/2011', 'DATETIME', 'Report Date', 'VALID', 1120)
('02/16/2010', 'DATETIME', 'Report Date', 'VALID', 1120)
('02/22/2008', 'DATETIME', 'Report Date', 'VALID', 1121)
('02/16/2016', 'DATETIME', 'Report Date', 'VALID', 1121)
('05/29/2011', 'DATETIME', 'Report Date', 'VALID', 1122)
('12/26/2015', 'DATETIME', 'Report Date', 'VALID', 1122)
('01/31/2016', 'DATETIME', 'Report Date', 'VALID', 1122)
('11/29/2015', 'DATETIME', 'Report Date', 'VALID', 1122)
('03/24/2013', 'DATETIME', 'Report Date', 'VALID', 1122)
('02/28/2015', 'DATETIME', 'Report Date', 'VALID', 1122)
('10/18/2009', 'DATETIME', 'Report Date', 'VALID', 1123)
('05/27/2012', 'DATETIME', 'Report Date', 'VALID', 1123)
('12/30/2010', 'DATETIME', 'Report Date', 'VALID', 1123)
('10/03/2015', 'DATETIME', 'Report Date', 'VALID', 1124)
('06/21/2009', 'DATETIME', 'Report Date', 'VALID', 1124)
('01/08/2012', 'DATETIME', 'Report Date', 'VALID', 1124)
('12/16/2016', 'DATETIME', 'Report Date', 'VALID', 1125)
('11/26/2014', 'DATETIME', 'Report Date', 'VALID', 1125)
('12/29/2013', 'DATETIME', 'Report Date', 'VALID', 1125)
('11/15/2015', 'DATETIME', 'Report Date', 'VALID', 1126)
('05/30/2011', 'DATETIME', 'Report Date', 'VALID', 1126)
('02/19/2015', 'DATETIME', 'Report Date', 'VALID', 1127)
('04/19/2009', 'DATETIME', 'Report Date', 'VALID', 1128)
('03/30/2010', 'DATETIME', 'Report Date', 'VALID', 1128)
('10/28/2012', 'DATETIME', 'Report Date', 'VALID', 1128)
('02/24/2008', 'DATETIME', 'Report Date', 'VALID', 1129)
('12/24/2013', 'DATETIME', 'Report Date', 'VALID', 1129)
('01/21/2007', 'DATETIME', 'Report Date', 'VALID', 1130)
('05/03/2009', 'DATETIME', 'Report Date', 'VALID', 1130)
('03/15/2015', 'DATETIME', 'Report Date', 'VALID', 1130)
('02/26/2012', 'DATETIME', 'Report Date', 'VALID', 1131)
('02/21/2016', 'DATETIME', 'Report Date', 'VALID', 1131)
('04/06/2014', 'DATETIME', 'Report Date', 'VALID', 1131)
('12/27/2009', 'DATETIME', 'Report Date', 'VALID', 1132)
('05/26/2013', 'DATETIME', 'Report Date', 'VALID', 1132)
('03/13/2016', 'DATETIME', 'Report Date', 'VALID', 1132)
('06/15/2008', 'DATETIME', 'Report Date', 'VALID', 1133)
('03/18/2007', 'DATETIME', 'Report Date', 'VALID', 1133)
('01/12/2015', 'DATETIME', 'Report Date', 'VALID', 1133)
('04/16/2011', 'DATETIME', 'Report Date', 'VALID', 1133)
('08/27/2006', 'DATETIME', 'Report Date', 'VALID', 1134)
('11/30/2014', 'DATETIME', 'Report Date', 'VALID', 1134)
('10/28/2015', 'DATETIME', 'Report Date', 'VALID', 1135)
('12/04/2011', 'DATETIME', 'Report Date', 'VALID', 1135)
('05/01/2011', 'DATETIME', 'Report Date', 'VALID', 1135)
('01/10/2009', 'DATETIME', 'Report Date', 'VALID', 1136)
('11/08/2015', 'DATETIME', 'Report Date', 'VALID', 1136)
('01/18/2016', 'DATETIME', 'Report Date', 'VALID', 1136)
('03/06/2016', 'DATETIME', 'Report Date', 'VALID', 1137)
('02/19/2007', 'DATETIME', 'Report Date', 'VALID', 1137)
('02/11/2013', 'DATETIME', 'Report Date', 'VALID', 1137)
('02/11/2007', 'DATETIME', 'Report Date', 'VALID', 1137)
('05/15/2011', 'DATETIME', 'Report Date', 'VALID', 1138)
('01/26/2016', 'DATETIME', 'Report Date', 'VALID', 1138)
('07/31/2016', 'DATETIME', 'Report Date', 'VALID', 1139)
('12/21/2009', 'DATETIME', 'Report Date', 'VALID', 1139)
('04/24/2016', 'DATETIME', 'Report Date', 'VALID', 1139)
('10/02/2011', 'DATETIME', 'Report Date', 'VALID', 1139)
('02/05/2006', 'DATETIME', 'Report Date', 'VALID', 1139)
('12/08/2013', 'DATETIME', 'Report Date', 'VALID', 1139)
('03/28/2010', 'DATETIME', 'Report Date', 'VALID', 1140)
('12/23/2014', 'DATETIME', 'Report Date', 'VALID', 1140)
('05/11/2008', 'DATETIME', 'Report Date', 'VALID', 1140)
('11/16/2008', 'DATETIME', 'Report Date', 'VALID', 1140)
('12/29/2014', 'DATETIME', 'Report Date', 'VALID', 1141)
('05/13/2007', 'DATETIME', 'Report Date', 'VALID', 1141)
('09/11/2011', 'DATETIME', 'Report Date', 'VALID', 1142)
('10/02/2015', 'DATETIME', 'Report Date', 'VALID', 1142)
('03/22/2015', 'DATETIME', 'Report Date', 'VALID', 1142)
('01/06/2013', 'DATETIME', 'Report Date', 'VALID', 1142)
